time,n,spearman_r,spearman_p,spearman_ci,pearson_r,pearson_p,pearson_ci,ols_beta,ols_se,ols_p,response,predictor
0,30,0.355377562,0.053952794,"[-0.01, 0.63]",0.299287323,0.108123755,"[-0.07, 0.60]",0.032074034,0.019324525,0.108123755,log_nfl,age
1,33,0.254201928,0.153422524,"[-0.10, 0.55]",0.247274064,0.165330585,"[-0.10, 0.54]",0.020075091,0.014128547,0.165330585,log_nfl,age
3,33,0.096472174,0.593292973,"[-0.26, 0.43]",0.059273412,0.743169527,"[-0.29, 0.39]",0.004234482,0.012808411,0.743169527,log_nfl,age
5,25,0.115858387,0.581292866,"[-0.29, 0.49]",0.137315082,0.512765933,"[-0.27, 0.51]",0.012105234,0.018207802,0.512765933,log_nfl,age
overall,121,0.164382821,0.071589631,"[-0.01, 0.33]",0.178964313,0.049523124,"[0.00, 0.35]",,,,log_nfl,age
0,30,0.052255848,0.783898238,"[-0.31, 0.40]",0.079311418,0.676967157,"[-0.29, 0.43]",0.019937827,0.047357947,0.676967157,log_nfl,baseline_nihss
1,33,0.023973298,0.894648268,"[-0.32, 0.36]",0.027745086,0.878187632,"[-0.32, 0.37]",0.005573076,0.036062917,0.878187632,log_nfl,baseline_nihss
3,33,0.116345938,0.519068959,"[-0.24, 0.44]",0.131699899,0.465036887,"[-0.22, 0.45]",0.023737711,0.032090251,0.465036887,log_nfl,baseline_nihss
5,25,0.21497621,0.302081454,"[-0.20, 0.56]",0.189798014,0.363506443,"[-0.22, 0.54]",0.034751767,0.037484747,0.363506443,log_nfl,baseline_nihss
overall,121,0.015128233,0.869185911,"[-0.16, 0.19]",0.048926263,0.594087703,"[-0.13, 0.23]",,,,log_nfl,baseline_nihss
0,30,0.284176699,0.12802498,"[-0.08, 0.58]",0.343751455,0.062894463,"[-0.02, 0.63]",0.72587295,0.374740561,0.062894463,log_nfl,mrs_pre_stroke
1,33,0.308989642,0.08017506,"[-0.04, 0.59]",0.36986217,0.034128518,"[0.03, 0.63]",0.640365181,0.288910392,0.034128518,log_nfl,mrs_pre_stroke
3,33,0.215525364,0.228365788,"[-0.14, 0.52]",0.191025442,0.286925616,"[-0.16, 0.50]",0.268283582,0.247599627,0.286925616,log_nfl,mrs_pre_stroke
5,25,0.250887752,0.226401358,"[-0.16, 0.59]",0.246296876,0.235295285,"[-0.16, 0.58]",0.358697549,0.294317779,0.235295285,log_nfl,mrs_pre_stroke
overall,121,0.2375351,0.008705089,"[0.06, 0.40]",0.249955241,0.005692271,"[0.07, 0.41]",,,,log_nfl,mrs_pre_stroke
0,30,0.284176699,0.12802498,"[-0.08, 0.58]",0.343751455,0.062894463,"[-0.02, 0.63]",0.72587295,0.374740561,0.062894463,log_nfl,baseline_mrs
1,33,0.308989642,0.08017506,"[-0.04, 0.59]",0.36986217,0.034128518,"[0.03, 0.63]",0.640365181,0.288910392,0.034128518,log_nfl,baseline_mrs
3,33,0.215525364,0.228365788,"[-0.14, 0.52]",0.191025442,0.286925616,"[-0.16, 0.50]",0.268283582,0.247599627,0.286925616,log_nfl,baseline_mrs
5,25,0.250887752,0.226401358,"[-0.16, 0.59]",0.246296876,0.235295285,"[-0.16, 0.58]",0.358697549,0.294317779,0.235295285,log_nfl,baseline_mrs
overall,121,0.2375351,0.008705089,"[0.06, 0.40]",0.249955241,0.005692271,"[0.07, 0.41]",,,,log_nfl,baseline_mrs
0,30,-0.067538765,0.722880529,"[-0.42, 0.30]",-0.106219265,0.576400424,"[-0.45, 0.26]",-0.125894333,0.222720391,0.576400424,log_nfl,baseline_il1b
1,33,-0.199065714,0.266734943,"[-0.51, 0.15]",-0.162140594,0.367323494,"[-0.48, 0.19]",-0.126135387,0.137873007,0.367323494,log_nfl,baseline_il1b
3,33,0.099479615,0.581769816,"[-0.25, 0.43]",0.092750259,0.607689494,"[-0.26, 0.42]",0.06449391,0.124350236,0.607689494,log_nfl,baseline_il1b
5,25,-0.066768731,0.751163062,"[-0.45, 0.34]",0.004297117,0.983735752,"[-0.39, 0.40]",0.003129703,0.151865129,0.983735752,log_nfl,baseline_il1b
overall,121,-0.049377198,0.59068784,"[-0.23, 0.13]",-0.003555936,0.969122081,"[-0.18, 0.18]",,,,log_nfl,baseline_il1b
0,30,-0.232294131,0.216738886,"[-0.55, 0.14]",-0.013159165,0.944976934,"[-0.37, 0.35]",-0.004953945,0.071138752,0.944976934,log_nfl,baseline_il6
1,33,-0.104726118,0.561909552,"[-0.43, 0.25]",-0.135808217,0.451102124,"[-0.46, 0.22]",-0.047443967,0.062162958,0.451102124,log_nfl,baseline_il6
3,33,0.058902329,0.744723939,"[-0.29, 0.39]",0.018709089,0.91769287,"[-0.33, 0.36]",0.00596604,0.057263337,0.91769287,log_nfl,baseline_il6
5,25,0.141235352,0.500685759,"[-0.27, 0.51]",0.079269566,0.7064338,"[-0.33, 0.46]",0.027908013,0.073179549,0.7064338,log_nfl,baseline_il6
overall,121,-0.063334484,0.490105451,"[-0.24, 0.12]",-0.038215308,0.677295092,"[-0.22, 0.14]",,,,log_nfl,baseline_il6
0,30,-0.379617277,0.038539299,"[-0.65, -0.02]",-0.276807035,0.138653725,"[-0.58, 0.09]",-0.728497562,0.477927141,0.138653725,log_nfl,baseline_il10
1,33,-0.171528896,0.339848814,"[-0.49, 0.18]",-0.168349391,0.349009733,"[-0.48, 0.19]",-0.271122386,0.285121394,0.349009733,log_nfl,baseline_il10
3,33,0.086098812,0.63377846,"[-0.27, 0.42]",0.104660348,0.562156578,"[-0.25, 0.43]",0.150264342,0.256449116,0.562156578,log_nfl,baseline_il10
5,25,-0.051173532,0.808061903,"[-0.44, 0.35]",0.070721721,0.736926554,"[-0.33, 0.45]",0.103280044,0.303746214,0.736926554,log_nfl,baseline_il10
overall,121,-0.103868402,0.256894229,"[-0.28, 0.08]",-0.040558832,0.658707781,"[-0.22, 0.14]",,,,log_nfl,baseline_il10
0,30,-0.106681537,0.574732416,"[-0.45, 0.26]",-0.091837205,0.629336147,"[-0.44, 0.28]",-0.038691685,0.079283127,0.629336147,log_nfl,baseline_il17a
1,33,-0.029432152,0.870840788,"[-0.37, 0.32]",-0.062173637,0.731055635,"[-0.40, 0.29]",-0.018590787,0.053600598,0.731055635,log_nfl,baseline_il17a
3,33,0.097386618,0.589778731,"[-0.25, 0.43]",0.181249176,0.312762439,"[-0.17, 0.49]",0.048458259,0.047223433,0.312762439,log_nfl,baseline_il17a
5,25,-0.036722536,0.861652682,"[-0.43, 0.36]",0.14523993,0.488492907,"[-0.27, 0.51]",0.041073495,0.058342101,0.488492907,log_nfl,baseline_il17a
overall,121,-0.00443286,0.96151258,"[-0.18, 0.17]",0.052446375,0.567785996,"[-0.13, 0.23]",,,,log_nfl,baseline_il17a
0,30,-0.291802585,0.117669974,"[-0.59, 0.08]",-0.225491349,0.23088087,"[-0.54, 0.15]",-0.258913247,0.21140421,0.23088087,log_nfl,baseline_tnfa
1,33,-0.212467251,0.235195185,"[-0.52, 0.14]",-0.200140911,0.264107218,"[-0.51, 0.15]",-0.182126014,0.160131999,0.264107218,log_nfl,baseline_tnfa
3,33,-0.062667786,0.728997887,"[-0.40, 0.29]",0.015099991,0.933531266,"[-0.33, 0.36]",0.012327738,0.146614303,0.933531266,log_nfl,baseline_tnfa
5,25,-0.159152511,0.447322984,"[-0.52, 0.25]",-0.100654202,0.632134778,"[-0.48, 0.31]",-0.080954164,0.166852289,0.632134778,log_nfl,baseline_tnfa
overall,121,-0.128605775,0.159776253,"[-0.30, 0.05]",-0.085567521,0.350724172,"[-0.26, 0.09]",,,,log_nfl,baseline_tnfa
0,19,-0.250877193,0.300204062,"[-0.63, 0.23]",-0.18694698,0.443464713,"[-0.59, 0.29]",-1.75496554,2.236664132,0.443464713,log_nfl,delta_csf_ratio
1,20,-0.769924812,7.18E-05,"[-0.90, -0.50]",-0.593694889,0.005784115,"[-0.82, -0.21]",-4.506842868,1.439798068,0.005784115,log_nfl,delta_csf_ratio
3,19,-0.684210526,0.001233768,"[-0.87, -0.33]",-0.60258678,0.006322588,"[-0.83, -0.20]",-4.347531218,1.396466693,0.006322588,log_nfl,delta_csf_ratio
5,13,-0.626373626,0.021988602,"[-0.88, -0.12]",-0.700711015,0.007633808,"[-0.90, -0.24]",-6.005906291,1.843757897,0.007633808,log_nfl,delta_csf_ratio
overall,71,-0.498204018,9.82E-06,"[-0.66, -0.30]",-0.375735626,0.001242236,"[-0.56, -0.16]",,,,log_nfl,delta_csf_ratio