response,predictor,mode,best_power_base,best_power_final,overall_spearman_r,overall_spearman_p,overall_spearman_ci,overall_pearson_r,overall_pearson_p,overall_pearson_ci,AIC_base,AIC_final,BIC_base,BIC_final,logLik_base,logLik_final,MSE_base,MSE_final,R2_base,R2_final,delta_AIC,delta_BIC,delta_R2,delta_MSE,beta_cont,beta_cont_p,std_beta_cont,gauss_mu,gauss_sigma,Intercept_base,Intercept_base_p,time_pow_base,time_pow_base_p,Intercept_final,Intercept_final_p,time_pow_final,time_pow_final_p,cont_effect_final,cont_effect_final_p,age_effect_final,age_effect_final_p,baseline_nihss_effect_final,baseline_nihss_effect_final_p,infarct_volume_max_effect_final,infarct_volume_max_effect_final_p,csf_ratio_min_effect_final,csf_ratio_min_effect_final_p,mrs_pre_stroke_effect_final,mrs_pre_stroke_effect_final_p,baseline_mrs_effect_final,baseline_mrs_effect_final_p,baseline_wbc_effect_final,baseline_wbc_effect_final_p,baseline_il1b_effect_final,baseline_il1b_effect_final_p,baseline_il6_effect_final,baseline_il6_effect_final_p,baseline_il10_effect_final,baseline_il10_effect_final_p,baseline_il17a_effect_final,baseline_il17a_effect_final_p,baseline_tnfa_effect_final,baseline_tnfa_effect_final_p,baseline_cyto5_effect_final,baseline_cyto5_effect_final_p,baseline_cyto5_zscore_effect_final,baseline_cyto5_zscore_effect_final_p,baseline_cyto4_effect_final,baseline_cyto4_effect_final_p,baseline_cyto4_zscore_effect_final,baseline_cyto4_zscore_effect_final_p,csf_ratio_fu24_effect_final,csf_ratio_fu24_effect_final_p,delta_csf_ratio_effect_final,delta_csf_ratio_effect_final_p,mrs_30_effect_final,mrs_30_effect_final_p,mrs_90_effect_final,mrs_90_effect_final_p
log_nfl,age,exclude,0.55,0.55,0.164382821,0.071589631,"[-0.01, 0.33]",0.178964313,0.049523124,"[0.00, 0.35]",300.5509541,300.5509541,311.7341163,311.7341163,-146.275477,-146.275477,0.257329615,0.257329615,0.8576115,0.8576115,0,0,0,0,,,,,,2.971083318,1.07E-59,0.875524544,6.28E-45,2.971083318,1.07E-59,0.875524544,6.28E-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_nfl,baseline_nihss,exclude,0.55,0.55,0.015128233,0.869185911,"[-0.16, 0.19]",0.048926263,0.594087703,"[-0.13, 0.23]",300.5509541,300.5509541,311.7341163,311.7341163,-146.275477,-146.275477,0.257329615,0.257329615,0.8576115,0.8576115,0,0,0,0,,,,,,2.971083318,1.07E-59,0.875524544,6.28E-45,2.971083318,1.07E-59,0.875524544,6.28E-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_nfl,mrs_pre_stroke,linear,0.55,0.65,0.2375351,0.008705089,"[0.06, 0.40]",0.249955241,0.005692271,"[0.07, 0.41]",300.5509541,298.5503548,311.7341163,312.5293075,-146.275477,-144.2751774,0.257329615,0.257689008,0.8576115,0.857412637,2.000599282,-0.795191263,-0.000198863,-0.000359393,0.448076445,0.056885021,0.217840314,,,2.971083318,1.07E-59,0.875524544,6.28E-45,2.888545825,1.60E-53,0.745574248,4.74E-45,0.448076445,0.056885021,,,,,,,,,0.448076445,0.056885021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_nfl,baseline_mrs,linear,0.55,0.65,0.2375351,0.008705089,"[0.06, 0.40]",0.249955241,0.005692271,"[0.07, 0.41]",300.5509541,298.5503548,311.7341163,312.5293075,-146.275477,-144.2751774,0.257329615,0.257689008,0.8576115,0.857412637,2.000599282,-0.795191263,-0.000198863,-0.000359393,0.448076445,0.056885021,0.217840314,,,2.971083318,1.07E-59,0.875524544,6.28E-45,2.888545825,1.60E-53,0.745574248,4.74E-45,0.448076445,0.056885021,,,,,,,,,,,0.448076445,0.056885021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_nfl,baseline_il1b,exclude,0.55,0.55,-0.049377198,0.59068784,"[-0.23, 0.13]",-0.003555936,0.969122081,"[-0.18, 0.18]",300.5509541,300.5509541,311.7341163,311.7341163,-146.275477,-146.275477,0.257329615,0.257329615,0.8576115,0.8576115,0,0,0,0,,,,,,2.971083318,1.07E-59,0.875524544,6.28E-45,2.971083318,1.07E-59,0.875524544,6.28E-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_nfl,baseline_il6,exclude,0.55,0.55,-0.063334484,0.490105451,"[-0.24, 0.12]",-0.038215308,0.677295092,"[-0.22, 0.14]",300.5509541,300.5509541,311.7341163,311.7341163,-146.275477,-146.275477,0.257329615,0.257329615,0.8576115,0.8576115,0,0,0,0,,,,,,2.971083318,1.07E-59,0.875524544,6.28E-45,2.971083318,1.07E-59,0.875524544,6.28E-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_nfl,baseline_il10,gaussian,0.55,0.5,-0.103868402,0.256894229,"[-0.28, 0.08]",-0.040558832,0.658707781,"[-0.22, 0.14]",300.5509541,290.6311633,311.7341163,304.6101161,-146.275477,-140.3155817,0.257329615,0.217777229,0.8576115,0.879497069,9.919790742,7.124000196,0.021885569,0.039552386,-0.748146603,0.000180651,-0.35274725,0,2.5,2.971083318,1.07E-59,0.875524544,6.28E-45,3.466672251,8.55E-51,0.773740187,1.17E-23,-0.748146603,0.000180651,,,,,,,,,,,,,,,,,,,-0.748146603,0.000180651,,,,,,,,,,,,,,,,,,,,
log_nfl,baseline_il17a,exclude,0.55,0.55,-0.00443286,0.96151258,"[-0.18, 0.17]",0.052446375,0.567785996,"[-0.13, 0.23]",300.5509541,300.5509541,311.7341163,311.7341163,-146.275477,-146.275477,0.257329615,0.257329615,0.8576115,0.8576115,0,0,0,0,,,,,,2.971083318,1.07E-59,0.875524544,6.28E-45,2.971083318,1.07E-59,0.875524544,6.28E-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_nfl,baseline_tnfa,exclude,0.55,0.55,-0.128605775,0.159776253,"[-0.30, 0.05]",-0.085567521,0.350724172,"[-0.26, 0.09]",300.5509541,300.5509541,311.7341163,311.7341163,-146.275477,-146.275477,0.257329615,0.257329615,0.8576115,0.8576115,0,0,0,0,,,,,,2.971083318,1.07E-59,0.875524544,6.28E-45,2.971083318,1.07E-59,0.875524544,6.28E-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
log_nfl,delta_csf_ratio,gaussian,0.55,0.7,-0.498204018,9.82E-06,"[-0.66, -0.30]",-0.375735626,0.001242236,"[-0.56, -0.16]",177.6758906,174.3405977,186.7266101,185.6539971,-84.83794531,-82.17029885,0.226900004,0.226842041,0.885986439,0.886015565,3.33529292,1.072613043,2.91E-05,5.80E-05,-3.634229146,0.00815546,-0.378058772,1.683366733,2.5,3.023092165,4.10E-31,0.825286378,2.96E-27,2.613983663,1.01E-18,0.689458167,8.65E-29,-3.634229146,0.00815546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.634229146,0.00815546,,,,